City_ID,City,Country,Max Temp,Conditions,Lat,Lng,Hotel Name
364,Kijang,KR,62.33,broken clouds,35.2442,129.2139,Samyang Beach Villa
366,Calvinia,ZA,55.62,clear sky,-31.4707,19.776,Die Lemoenhuis
367,Elk Plain,US,53.17,light rain,47.0532,-122.3976,Loveland Mobile Estates
368,Willowmore,ZA,48.94,clear sky,-33.2926,23.4895,Jumper's Place
370,Marsh Harbour,BS,74.75,clear sky,26.5412,-77.0636,Abaco Beach Resort
371,Lincoln,US,73.9,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
372,Varhaug,NO,44.89,few clouds,58.6147,5.6457,Jonas Bue
377,Sinnamary,GF,78.62,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
384,Guangyuan,CN,66.42,broken clouds,32.442,105.823,Guangyuan Poetry Hotel
385,Alindao,CF,70.97,broken clouds,5.0267,21.2088,OCHA Alindao
387,Spas-Klepiki,RU,46.4,broken clouds,55.1347,40.1767,База отдыха Полушкино - VIP
389,Langsa,ID,74.79,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
390,Gushikawa,JP,78.8,overcast clouds,26.3544,127.8686,Kirari Guest House
392,Abha,SA,55.22,clear sky,18.2164,42.5053,Abha Hotel
395,Deer Lake,CA,49.86,overcast clouds,49.1667,-57.4316,"Holiday Inn Express Deer Lake, an IHG Hotel"
396,La Ronge,CA,44.85,clear sky,55.1001,-105.2842,Northland Motor Hotel
400,Henties Bay,,63.55,clear sky,-22.116,14.2845,Fishermans Guest House
401,Fez,MA,59.25,light rain,34.0372,-4.9998,Hotel Mounia Fès
402,Kiunga,PG,78.35,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
403,Talcahuano,CL,55.08,scattered clouds,-36.7167,-73.1167,departamento comodo
404,Sao Filipe,CV,74.61,few clouds,14.8961,-24.4956,Hotel Xaguate
405,Balkanabat,TM,70.59,overcast clouds,39.5108,54.3671,Nebitchi Hotel
411,Hazaribag,IN,79.16,scattered clouds,23.9833,85.35,Capital O 46318 Sri Vinayak Deluxe
412,Jiazi,CN,79.3,scattered clouds,22.8779,116.067,Hotel Jin Hao
413,Honggang,CN,43.59,clear sky,46.4667,124.8667,亚布力滑雪旅游度假区
414,Barcelos,PT,57.85,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
416,Mahabad,IR,51.96,overcast clouds,36.7631,45.7222,Afshar Hotel
417,Necochea,AR,66.92,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
419,Warri,NG,78.03,light rain,5.5167,5.75,BON Hotel Delta
420,Marawi,PH,72.7,overcast clouds,7.9986,124.2928,Derogongan Residence
421,Southend-On-Sea,GB,47.89,broken clouds,51.5378,0.7143,Ilfracombe House Hotel
422,Jiamusi,CN,44.2,scattered clouds,46.8333,130.35,Riversky Hotel
424,Sahy,SK,55.4,overcast clouds,48.0741,18.9495,Tünde Vendégház
430,Lambarene,GA,76.24,light rain,-0.7001,10.2406,Le Refuge
432,Guerrero Negro,MX,72.66,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
437,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
438,Vao,NC,74.46,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
439,Rhyl,GB,48.85,scattered clouds,53.3196,-3.4886,Westminster Hotel
441,Kaseda,JP,69.26,light rain,31.4167,130.3167,Sun Stay Kaseda
442,Agogo,GH,73.98,overcast clouds,6.8,-1.0819,"Ebenezer Hostel, Agogo"
443,Artyom,AZ,60.94,overcast clouds,40.4723,50.333,Pir hos
444,Beidao,CN,60.49,broken clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
445,Oltu,TR,55.31,overcast clouds,40.5498,42.0013,Oltu Öğretmenevi
447,Sulphur,US,79.0,clear sky,30.2366,-93.3774,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
448,Kastamonu,TR,51.13,overcast clouds,41.5,33.6667,Kasaba Orencik Koyu Muhtarligi
449,Juneau,US,45.99,light rain,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
451,Clifton,US,63.16,mist,40.8584,-74.1638,Quality Urban Housing
452,Great Bend,US,74.84,clear sky,38.3645,-98.7648,Best Western Angus Inn
453,Kangavar,IR,51.64,clear sky,34.5043,47.9653,خانه معلم کنگاور
455,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,Hotel San Juan
456,Acari,PE,72.54,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
458,Fairbanks,US,50.34,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
459,Montijo,PT,61.54,few clouds,38.7067,-8.9739,TRYP by Wyndham Montijo Parque Hotel
461,Itarema,BR,76.44,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
462,Saint-Joseph,RE,71.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
464,Corralillo,CU,77.94,clear sky,22.9819,-80.5856,Hostal De Pedri
465,Dimona,IL,66.06,overcast clouds,31.0667,35.0333,Desert Sounds Hotel
466,Grand Gaube,MU,75.6,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
468,Bergerac,FR,56.88,clear sky,44.8333,0.5,"The Originals City, Hôtel de Bordeaux, Bergerac (Inter-Hotel)"
469,Svenstrup,DK,40.84,scattered clouds,56.9723,9.8481,Motel Europa
470,Bendigo,AU,61.86,overcast clouds,-36.7667,144.2833,The Hotel Shamrock
471,Batouri,CM,70.21,moderate rain,4.4333,14.3667,Hotel Hollywood
473,Balikpapan,ID,74.39,light rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
474,Inirida,CO,74.32,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
476,Blackwater,AU,72.41,clear sky,-23.5833,148.8833,Blackwater Motor Inn
477,Haines Junction,CA,51.75,overcast clouds,60.7522,-137.5108,Parkside Inn
479,Ardmore,US,71.85,clear sky,34.1743,-97.1436,"Motel 6 Ardmore, OK"
480,Namibe,AO,71.46,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
482,Dandong,CN,49.87,clear sky,40.1292,124.3947,Yiranju Farmstay
483,Padang,ID,78.64,overcast clouds,-0.9492,100.3543,Mercure Padang
484,Baghdad,IQ,71.51,light rain,33.3406,44.4009,Baghdad Hotel
485,Les Cayes,HT,77.54,broken clouds,18.2,-73.75,Villa Orphee
487,Karasburg,,59.22,clear sky,-28.0167,18.75,Hoon's Selfcatering
488,High Level,CA,50.11,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
489,Ardabil,IR,44.15,broken clouds,38.2498,48.2933,Hotel ideal
490,Jian,CN,72.28,scattered clouds,27.1172,114.9793,Luling International Hotel
492,Rawson,AR,57.06,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
493,Ancud,CL,45.57,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
494,Plouzane,FR,51.85,clear sky,48.3833,-4.6167,Lymina
496,Bella Union,UY,76.44,overcast clouds,-30.2752,-57.6007,Saville Free Shop
497,Jiaojiang,CN,70.0,overcast clouds,28.6803,121.4428,Fangyuan Hotel
499,Katsuura,JP,69.82,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
501,Atherton,GB,48.22,scattered clouds,53.5237,-2.4935,The Mercury Motel
502,Coruripe,BR,77.14,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
503,Petropavlovsk-Kamchatskiy,RU,43.39,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
